Full context	Stimulus_animacy	Construction_type	Verb	Stimulus_encoding	Participle_case
 Эт-то почему танькиной корове за так быка представили, а с моей полтораста целковых?!  Что, моя корова богом обижена?   ― Угомонись, Аграфена!  [Г. Радов. Неторной дорогой // «Огонек». № 23, 1956] [омонимия не снята]	inan	null	obidet	instrumental	
 ― урезонивает ее бригадир.  ― Не богом, а тобой корова обижена.  Татьяна круглый год на работе, а ты?..  [Г. Радов. Неторной дорогой // «Огонек». № 23, 1956] [омонимия не снята]	anim	null	obidet	instrumental	
 Если я бывал кем-нибудь обижен, то это лицо пропускалось в наказание.  [А. Н. Бенуа. Жизнь художника (1955)] [омонимия не снята]	anim	cop	obidet	instrumental	
 Адмирал был, по-видимому, особенно обижен этим последним вопросом: «н каким образом?»  [Е. В. Тарле. Экспедиция адмирала Сенявина в Средиземное море (1805-1807) (1954)] [омонимия не снята]	inan	cop	obidet	instrumental	
  И при этом он знает о своей полуинтеллигентности: он обижен ею, он не прощает ее другим, он завидует, мстит и добивается во всем первенства: он ненасытно честолюбив и властолюбив.  [И. А. Ильин. Зависть как источник бедствий (1952)] [омонимия не снята]	inan	null	obidet	instrumental	
 Что касается Хаима Ягудина, то всем было ясно: обижен на старика Ивановского за то, что тот не захотел воспользоваться его парфюмерией.  [Анатолий Рыбаков. Тяжелый песок (1975-1977)] [омонимия снята]	anim	null	obidet	lexical	
 И все знали, что он обижен на профессора Ивановского за свой одеколон, все знали, что он завидует старику Рахленко ― отцу Рахили, почему завидует, вы узнаете позже.  [Анатолий Рыбаков. Тяжелый песок (1975-1977)] [омонимия снята]	anim	null	obidet	lexical	
 Старики очень обижены на тебя из-за этого.  [Василий Аксенов. Звездный билет // «Юность», 1961] [омонимия снята]	anim	null	obidet	lexical	
 [Горожанин(1), жен]   Странно только что спустя 5 лет человек обижен на меня за то, что я от него ушла.  [коллективный. Нижегородка: «Из-за вранья в группе «Курицы» меня бросил жених!» (2014.07.11)] [омонимия не снята]	anim	null	obidet	lexical	
 Съездив на ослепительном Lexus на демонстрацию в Останкино (ну, вы знаете ― для тех, кто обижен на НТВ), я понял, что можно обойтись и без белой ленточки.  [Дмитрий Великовский. Зарядка для депутата // «Русский репортер», 2012] [омонимия не снята]	anim	null	obidet	lexical	
